ProductID,ProductName,ProductBrand,Gender,Price (INR),NumImages,Description,PrimaryColor
1001,Men Navy Blue Cotton Slim Fit Casual Shirt,Roadster,Men,1199.0,4,Navy blue woven casual shirt with a spread collar and long sleeves,Navy Blue
1002,Women Red & Black Floral Print A-Line Dress,Tokyo Talkies,Women,1499.0,5,Red and black floral print knitted A-line dress with short puff sleeves,Red
1003,Men Black Running Shoes,Nike,Men,4995.0,4,Black mesh upper lightweight cushioned running shoes with flexible rubber sole,Black
1004,Unisex White Leather Sneakers,Puma,Unisex,3599.0,3,Classic low-top white leather sneakers with perforated detail and durable rubber outsole,White
1005,Women Blue High-Rise Stretchable Jeans,Levis,Women,2899.0,4,Dark blue shade high-rise 5-pocket jeans created from premium stretch denim,Blue
1006,Men Olive Green Hooded Sweatshirt,HRX,Men,1799.0,4,Olive green solid sweatshirt with an attached hood long sleeves and kangaroo pocket,Olive
1007,Women Rose Gold Analog Watch,Fossil,Women,7995.0,3,Rose gold-plated stainless steel mesh strap analog watch with mineral glass dial,Rose Gold
1008,Men Charcoal Grey Tailored Fit Trousers,Park Avenue,Men,2199.0,4,Charcoal grey solid mid-rise formal trousers with button closure and 4 pockets,Charcoal
1009,Women Yellow Printed Cotton Kurta,Biba,Women,1299.0,5,Yellow straight printed cotton calf-length kurta with three-quarter sleeves,Yellow
1010,Unisex Black Canvas Backpack,Wildcraft,Unisex,1499.0,4,Water-resistant black canvas backpack featuring 2 main compartments and padded shoulder straps,Black
1011,Men White Oxford Button-Down Shirt,Arrow,Men,1899.0,4,Crisp white cotton Oxford weave shirt with button-down collar and chest pocket,White
1012,Women Peach Embroidered Anarkali Suit,Aurelia,Women,3499.0,5,Peach georgette Anarkali kurta with thread embroidery paired with matching palazzo and dupatta,Peach
1013,Men Brown Leather Derby Shoes,Clarks,Men,5499.0,3,Full-grain brown leather Derby shoes with cushioned insole and durable Goodyear welt construction,Brown
